success,trial_type,trial_index,time_elapsed,internal_node_id,STUDY_ID,PROLIFIC_PID,SESSION_ID,FP,bonus,view_history,rt,stimulus,key_press,shape_array,effect,correct_response,test_part,trial_part,correct,responses,trial_name
1.0,fullscreen,0,19065,0.0-0.0,5f0c7ec1aabfdb45097524af,5ea9de15df734413226d7f0d,5f0c8a478985aa622a843b7f,True,0.47000000000000003,,,,,,,,,,,,
,instructions,1,23243,0.0-1.0,5f0c7ec1aabfdb45097524af,5ea9de15df734413226d7f0d,5f0c8a478985aa622a843b7f,True,0.47000000000000003,"[{""page_index"":0,""viewing_time"":1535.745000001043},{""page_index"":1,""viewing_time"":569.0349999349564},{""page_index"":2,""viewing_time"":721.155000035651},{""page_index"":3,""viewing_time"":676.3150000479072},{""page_index"":4,""viewing_time"":669.7399999247864}]",4174.340000026859,,,,,,,,,,
,html-keyboard-response,2,23751,0.0-2.0-0.0-0.0,5f0c7ec1aabfdb45097524af,5ea9de15df734413226d7f0d,5f0c8a478985aa622a843b7f,True,0.47000000000000003,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div>",,['stimuli/circle.png'],1.0,j,practice,prepare,,,
,html-keyboard-response,3,28756,0.0-2.0-0.0-1.0,5f0c7ec1aabfdb45097524af,5ea9de15df734413226d7f0d,5f0c8a478985aa622a843b7f,True,0.47000000000000003,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div><div class=""central_stim""><img src=""stimuli/circle.png"" width=""30%"" style=""padding:2vmin""></div>",,['stimuli/circle.png'],1.0,j,practice,main,,,
,html-keyboard-response,4,30763,0.0-2.0-0.0-2.0,5f0c7ec1aabfdb45097524af,5ea9de15df734413226d7f0d,5f0c8a478985aa622a843b7f,True,0.47000000000000003,,,"<div class=""central_stim""><img src=""stimuli/cat.png"" class=""cat""></div>",,['stimuli/circle.png'],1.0,j,practice,feedback,,,
,html-keyboard-response,5,31271,0.0-2.0-0.0-0.1,5f0c7ec1aabfdb45097524af,5ea9de15df734413226d7f0d,5f0c8a478985aa622a843b7f,True,0.47000000000000003,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div>",,['stimuli/heart.png'],0.0,f,practice,prepare,,,
,html-keyboard-response,6,36278,0.0-2.0-0.0-1.1,5f0c7ec1aabfdb45097524af,5ea9de15df734413226d7f0d,5f0c8a478985aa622a843b7f,True,0.47000000000000003,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div><div class=""central_stim""><img src=""stimuli/heart.png"" width=""30%"" style=""padding:2vmin""></div>",,['stimuli/heart.png'],0.0,f,practice,main,,,
,html-keyboard-response,7,38283,0.0-2.0-0.0-2.1,5f0c7ec1aabfdb45097524af,5ea9de15df734413226d7f0d,5f0c8a478985aa622a843b7f,True,0.47000000000000003,,,"<div class=""central_stim""></div>",,['stimuli/heart.png'],0.0,f,practice,feedback,,,
,html-keyboard-response,8,38791,0.0-2.0-0.0-0.2,5f0c7ec1aabfdb45097524af,5ea9de15df734413226d7f0d,5f0c8a478985aa622a843b7f,True,0.47000000000000003,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div>",,['stimuli/heart.png'],0.0,f,practice,prepare,,,
,html-keyboard-response,9,43794,0.0-2.0-0.0-1.2,5f0c7ec1aabfdb45097524af,5ea9de15df734413226d7f0d,5f0c8a478985aa622a843b7f,True,0.47000000000000003,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div><div class=""central_stim""><img src=""stimuli/heart.png"" width=""30%"" style=""padding:2vmin""></div>",,['stimuli/heart.png'],0.0,f,practice,main,,,
