success,trial_type,trial_index,time_elapsed,internal_node_id,STUDY_ID,PROLIFIC_PID,SESSION_ID,FP,bonus,draw_light,RT,response,correct_response,test_part,correct,rt,responses
1.0,fullscreen,0,3392,0.0-0.0,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5Text,1,8843,0.0-1.0,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5Text,2,10040,0.0-2.0,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5Text,3,22358,0.0-3.0,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5Text,4,25643,0.0-4.0,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,5,31582,0.0-5.0-0.0,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,0.0,3622.9000000748783,f,f,test,1.0,,
,p5feedback,6,36176,0.0-5.0-1.0,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,7,40048,0.0-5.0-0.1,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,1.0,1537.745000096038,f,j,test,0.0,,
,p5feedback,8,42193,0.0-5.0-1.1,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,9,45582,0.0-5.0-0.2,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,0.0,952.3300000000745,j,f,test,0.0,,
,p5feedback,10,46359,0.0-5.0-1.2,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,11,49032,0.0-5.0-0.3,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,1.0,369.6050001308322,j,j,test,1.0,,
,p5feedback,12,49622,0.0-5.0-1.3,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,13,52465,0.0-5.0-0.4,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,0.0,474.75999989546835,j,f,test,0.0,,
,p5feedback,14,53585,0.0-5.0-1.4,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,15,56348,0.0-5.0-0.5,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,1.0,462.91000000201166,j,j,test,1.0,,
,p5feedback,16,57292,0.0-5.0-1.5,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,17,59901,0.0-5.0-0.6,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,1.0,266.3850001990795,j,j,test,1.0,,
,p5feedback,18,60487,0.0-5.0-1.6,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,19,63530,0.0-5.0-0.7,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,0.0,713.5750001762062,j,f,test,0.0,,
,p5feedback,20,64276,0.0-5.0-1.7,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,21,67030,0.0-5.0-0.8,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,0.0,473.5799999907613,j,f,test,0.0,,
,p5feedback,22,68379,0.0-5.0-1.8,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,23,71214,0.0-5.0-0.9,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,1.0,544.2100001964718,j,j,test,1.0,,
,p5feedback,24,71768,0.0-5.0-1.9,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,25,74579,0.0-5.0-0.10,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,1.0,535.0750000216067,j,j,test,1.0,,
,p5feedback,26,75274,0.0-5.0-1.10,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,27,78713,0.0-5.0-0.11,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,0.0,1113.385000033304,j,f,test,0.0,,
,p5feedback,28,79542,0.0-5.0-1.11,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,29,82411,0.0-5.0-0.12,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,1.0,577.5250000879169,j,j,test,1.0,,
,p5feedback,30,82838,0.0-5.0-1.12,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,31,86345,0.0-5.0-0.13,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,0.0,684.9399998318404,f,f,test,1.0,,
,p5feedback,32,87157,0.0-5.0-1.13,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,33,89978,0.0-5.0-0.14,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,0.0,434.7399999387562,j,f,test,0.0,,
,p5feedback,34,95851,0.0-5.0-1.14,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,35,98844,0.0-5.0-0.15,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,1.0,678.1800000462681,j,j,test,1.0,,
,p5feedback,36,99424,0.0-5.0-1.15,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,37,102460,0.0-5.0-0.16,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,0.0,738.0899998825043,f,f,test,1.0,,
,p5feedback,38,103529,0.0-5.0-1.16,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,39,106328,0.0-5.0-0.17,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,1.0,491.0750000271946,f,j,test,0.0,,
,p5feedback,40,106913,0.0-5.0-1.17,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
,p5card,41,112360,0.0-5.0-0.18,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,0.0,3073.0999999213964,j,f,test,0.0,,
,p5feedback,42,113290,0.0-5.0-1.18,5f004f090329ec14b5f49015,5df35eebc12a3623d578f307,5f005ccdafb92f000c028644,False,0.42,,,,,,,,
