success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_identifier,subject_sum,STUDY_ID,PROLIFIC_PID,SESSION_ID,bonus,nickname,rt,url,set_size,change,addition,RT,response,jitter,correct_response,test_part,correct,stimulus,key_press,responses
1.0,fullscreen,0,3475,0.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,,,,,,,,,,,,
,external-html,1,23713,0.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,20200.675000000047,nickname.html,,,,,,,,,,,,
,p5Text,2,29052,0.0-2.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,,,,,,,,,,,,
,p5Text,3,70871,0.0-3.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,,,,,,,,,,,,
,p5cd_ad,4,76725,0.0-3.0-1.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,3.0,0.0,1.0,4907.510786928469,f,424.95421308558434,f,practice,1.0,,,
,html-keyboard-response,5,77735,0.0-3.0-1.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5cd_ad,6,80888,0.0-3.0-1.0-0.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,3.0,1.0,1.0,2391.604148753686,j,244.48585126083344,j,practice,1.0,,,
,html-keyboard-response,7,81897,0.0-3.0-1.0-1.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5cd_ad,8,84718,0.0-3.0-1.0-0.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,3.0,0.0,0.0,2001.997949613724,f,313.29205038491637,f,practice,1.0,,,
,html-keyboard-response,9,85726,0.0-3.0-1.0-1.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5cd_ad,10,89415,0.0-3.0-1.0-0.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,3.0,1.0,0.0,3034.975428483449,j,142.84957153722644,j,practice,1.0,,,
,html-keyboard-response,11,90419,0.0-3.0-1.0-1.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5Text,12,96978,0.0-4.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,,,,,,,,,,,,
,p5Text,13,104718,0.0-5.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,,,,,,,,,,,,
,p5Text,14,106907,0.0-6.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,,,,,,,,,,,,
,p5cd_ad,15,109994,0.0-6.0-1.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,9.0,0.0,0.0,2119.5441940799356,j,448.245805921033,f,test,0.0,,,
,p5cd_ad,16,112408,0.0-6.0-1.0-0.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,9.0,0.0,1.0,1676.8313801730983,f,220.7886198302731,f,test,1.0,,,
,p5cd_ad,17,114289,0.0-6.0-1.0-0.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,7.0,1.0,0.0,1207.8871889098082,j,157.2028110967949,j,test,1.0,,,
