,target,target_present,set_size,response,search_time,correct
0,Q,0,1,0,3,1
1,Q,0,1,0,3,1
2,Q,0,1,0,6,1
3,Q,0,1,0,3,1
4,Q,0,1,0,5,1
5,Q,0,1,0,3,1
6,Q,0,1,1,4,0
7,Q,0,1,0,2,1
8,Q,0,1,0,2,1
9,Q,0,1,0,4,1
10,Q,0,1,0,2,1
11,Q,0,1,0,2,1
12,Q,0,1,0,2,1
13,Q,0,1,1,2,0
14,Q,0,1,0,6,1
15,Q,0,1,0,2,1
16,Q,0,1,0,2,1
17,Q,0,1,0,2,1
18,Q,0,1,0,4,1
19,Q,0,1,0,2,1
20,Q,0,1,0,5,1
21,Q,0,1,0,2,1
22,Q,0,1,0,3,1
23,Q,0,1,0,3,1
24,Q,0,1,0,2,1
25,Q,0,1,0,2,1
26,Q,0,1,0,2,1
27,Q,0,1,0,3,1
28,Q,0,1,0,3,1
29,Q,0,1,0,3,1
30,Q,0,1,0,3,1
31,Q,0,1,0,2,1
32,Q,0,1,0,2,1
33,Q,0,1,1,2,0
34,Q,0,1,0,2,1
35,Q,0,1,0,6,1
36,Q,0,1,1,2,0
37,Q,0,1,0,5,1
38,Q,0,1,1,2,0
39,Q,0,1,0,4,1
40,Q,0,1,0,2,1
41,Q,0,1,0,2,1
42,Q,0,1,1,2,0
43,Q,0,1,0,2,1
44,Q,0,1,0,4,1
45,Q,0,1,0,2,1
46,Q,0,1,0,3,1
47,Q,0,1,1,9,0
48,Q,0,1,0,3,1
49,Q,0,1,0,3,1
50,Q,0,1,0,3,1
51,Q,0,1,0,2,1
52,Q,0,1,0,2,1
53,Q,0,1,0,4,1
54,Q,0,1,0,2,1
55,Q,0,1,0,2,1
56,Q,0,1,0,4,1
57,Q,0,1,0,2,1
58,Q,0,1,0,7,1
59,Q,0,1,0,3,1
60,Q,0,1,0,2,1
61,Q,0,1,1,2,0
62,Q,0,1,0,5,1
63,Q,0,1,0,3,1
64,Q,0,1,0,2,1
65,Q,0,1,0,2,1
66,Q,0,1,0,2,1
67,Q,0,1,0,6,1
68,Q,0,1,0,6,1
69,Q,0,1,0,2,1
70,Q,0,1,1,4,0
71,Q,0,1,0,2,1
72,Q,0,1,0,2,1
73,Q,0,1,0,4,1
74,Q,0,1,0,2,1
75,Q,0,1,0,2,1
76,Q,0,1,0,2,1
77,Q,0,1,0,3,1
78,Q,0,1,0,2,1
79,Q,0,1,0,3,1
80,Q,0,1,0,4,1
81,Q,0,1,0,7,1
82,Q,0,1,0,7,1
83,Q,0,1,0,2,1
84,Q,0,1,0,3,1
85,Q,0,1,0,3,1
86,Q,0,1,0,4,1
87,Q,0,1,0,6,1
88,Q,0,1,0,2,1
89,Q,0,1,0,2,1
90,Q,0,1,0,4,1
91,Q,0,1,0,3,1
92,Q,0,1,0,2,1
93,Q,0,1,0,3,1
94,Q,0,1,0,2,1
95,Q,0,1,0,2,1
96,Q,0,1,0,6,1
97,Q,0,1,0,3,1
98,Q,0,1,0,4,1
99,Q,0,1,1,2,0
100,Q,0,1,0,2,1
101,Q,0,1,0,3,1
102,Q,0,1,1,3,0
103,Q,0,1,0,2,1
104,Q,0,1,0,2,1
105,Q,0,1,0,2,1
106,Q,0,1,0,2,1
107,Q,0,1,0,2,1
108,Q,0,1,0,3,1
109,Q,0,1,0,2,1
110,Q,0,1,0,3,1
111,Q,0,1,0,6,1
112,Q,0,1,0,2,1
113,Q,0,1,0,2,1
114,Q,0,1,0,2,1
115,Q,0,1,0,4,1
116,Q,0,1,0,2,1
117,Q,0,1,0,2,1
118,Q,0,1,1,2,0
119,Q,0,1,0,2,1
120,Q,0,1,0,5,1
121,Q,0,1,0,4,1
122,Q,0,1,0,3,1
123,Q,0,1,0,5,1
124,Q,0,1,0,3,1
125,Q,0,1,0,5,1
126,Q,0,1,0,3,1
127,Q,0,1,0,5,1
128,Q,0,1,0,2,1
129,Q,0,1,0,2,1
130,Q,0,1,1,2,0
131,Q,0,1,0,4,1
132,Q,0,1,0,5,1
133,Q,0,1,0,3,1
134,Q,0,1,0,6,1
135,Q,0,1,0,2,1
136,Q,0,1,0,2,1
137,Q,0,1,0,3,1
138,Q,0,1,0,2,1
139,Q,0,1,0,7,1
140,Q,0,1,0,2,1
141,Q,0,1,1,2,0
142,Q,0,1,0,3,1
143,Q,0,1,0,3,1
144,Q,0,1,0,4,1
145,Q,0,1,0,4,1
146,Q,0,1,0,2,1
147,Q,0,1,0,3,1
148,Q,0,1,0,2,1
149,Q,0,1,1,2,0
150,Q,0,1,1,7,0
151,Q,0,1,0,2,1
152,Q,0,1,1,4,0
153,Q,0,1,0,2,1
154,Q,0,1,0,3,1
155,Q,0,1,0,2,1
156,Q,0,1,1,3,0
157,Q,0,1,0,3,1
158,Q,0,1,0,3,1
159,Q,0,1,1,2,0
160,Q,0,1,0,3,1
161,Q,0,1,0,5,1
162,Q,0,1,0,4,1
163,Q,0,1,0,3,1
164,Q,0,1,0,2,1
165,Q,0,1,0,8,1
166,Q,0,1,0,3,1
167,Q,0,1,0,2,1
168,Q,0,1,0,2,1
169,Q,0,1,0,4,1
170,Q,0,1,0,2,1
171,Q,0,1,0,2,1
172,Q,0,1,0,2,1
173,Q,0,1,0,4,1
174,Q,0,1,0,3,1
175,Q,0,1,0,2,1
176,Q,0,1,0,5,1
177,Q,0,1,0,4,1
178,Q,0,1,0,4,1
179,Q,0,1,0,3,1
180,Q,0,1,0,3,1
181,Q,0,1,0,6,1
182,Q,0,1,0,2,1
183,Q,0,1,0,2,1
184,Q,0,1,0,3,1
185,Q,0,1,0,2,1
186,Q,0,1,0,3,1
187,Q,0,1,0,2,1
188,Q,0,1,0,2,1
189,Q,0,1,0,5,1
190,Q,0,1,0,3,1
191,Q,0,1,1,2,0
192,Q,0,1,0,4,1
193,Q,0,1,0,4,1
194,Q,0,1,0,3,1
195,Q,0,1,0,2,1
196,Q,0,1,0,3,1
197,Q,0,1,0,3,1
198,Q,0,1,0,3,1
199,Q,0,1,0,4,1
200,Q,0,1,0,2,1
201,Q,0,1,0,2,1
202,Q,0,1,0,2,1
203,Q,0,1,0,5,1
204,Q,0,1,0,5,1
205,Q,0,1,0,2,1
206,Q,0,1,1,2,0
207,Q,0,1,1,3,0
208,Q,0,1,0,2,1
209,Q,0,1,0,2,1
210,Q,0,1,0,2,1
211,Q,0,1,0,3,1
212,Q,0,1,0,6,1
213,Q,0,1,0,4,1
