session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status,Vision
5ff6f3cda9a8852d002f5339,5f066623d73d2010f4c7c21c,RETURNED,2021-01-07 11:43:17.907000,,98428.483501,22,57,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff6f4566345d72d1c2e0809,5ef089044e663d0ac00def4b,APPROVED,2021-01-07 11:45:26.542000,2021-01-07 11:54:34.131000,547.589,26,136,0,100,2021-01-07 11:57:43.946000,4422804F,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,No,Yes
5ff6f76e80d5bf2df6f986ae,5f1ad337b6464a21cea3a611,APPROVED,2021-01-07 11:58:40.907000,2021-01-07 12:08:48.671000,607.764,46,43,1,100,2021-01-07 12:09:04.373000,4422804F,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,Yes,Yes
5ff6f77ef048212d7e1bb4f4,5c0c40015b32d500012ef32d,APPROVED,2021-01-07 11:59:01.970000,2021-01-07 12:21:57.684000,1375.714,73,304,3,99,2021-01-07 12:22:11.313000,4422804F,United Kingdom,United Kingdom,,English,,United Kingdom,Female,No,Yes
5ff6f78d745cf62d9d8dbb5f,5d42efe8d8012400014ca4f2,APPROVED,2021-01-07 11:59:38.877000,2021-01-07 12:08:51.871000,552.994,35,92,1,100,2021-01-07 12:09:03.688000,4422804F,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No,Yes
5ff6f791f2027f2e796fb76b,5ecc3a285a04af439dca846d,RETURNED,2021-01-07 12:04:53.273000,,97133.908943,19,88,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff6f964a2b5842db33174e3,5f98a1ee466c461ab0067571,APPROVED,2021-01-07 12:07:09.350000,2021-01-07 12:18:55.156000,705.806,56,11,0,100,2021-01-07 12:20:36.565000,4422804F,United Kingdom,United Kingdom,Full-Time,,English,United Kingdom,Male,No,Yes
5ff6fcfbc755582e938deb54,5e68b5323f1867000dd39a05,APPROVED,2021-01-07 12:22:23.247000,2021-01-07 12:37:53.825000,930.578,27,124,1,100,2021-01-07 14:58:08.414000,4422804F,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No,Yes
5ff6fd0271ad562e4543c04b,5eb45f0df625d52a7ebdf0ea,APPROVED,2021-01-07 12:22:26.076000,2021-01-07 12:40:13.560000,1067.484,20,247,0,100,2021-01-07 14:58:12.559000,4422804F,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,Yes,Yes
5ff6fd03d517362e94bcf776,5ebeb430b3bf7e087412aefc,APPROVED,2021-01-07 12:22:30.009000,2021-01-07 12:32:40.424000,610.415,31,64,2,97,2021-01-07 12:34:35.790000,4422804F,United Kingdom,United Kingdom,Unemployed (and job seeking),English,,United Kingdom,Female,No,Yes
5ff6fd069927432dd9bfda79,5dc73e434faf95534af77e74,APPROVED,2021-01-07 12:22:30.021000,2021-01-07 12:29:48.636000,438.615,19,204,3,98,2021-01-07 12:30:24.768000,4422804F,Sri Lanka,United Kingdom,Other,English,English,United Kingdom,Male,Yes,Yes
5ff6fd085a30632ebec12e8c,5fa9392c0cc79c03b3f4eb58,RETURNED,2021-01-07 12:22:32.711000,,96077.786988,44,29,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff6fd0f114a0f2dbcadfd6e,5e7c74139bebe52af249824b,APPROVED,2021-01-07 12:22:42.464000,2021-01-07 12:33:16.154000,633.69,26,103,2,99,2021-01-07 12:34:34.016000,4422804F,Australia,United Kingdom,Full-Time,English,English,United Kingdom,Female,Yes,Yes
5ff6fd21932d562ea8362b39,5e054293dd997bf92d8d4e40,RETURNED,2021-01-07 12:22:57.659000,,96053.095213,62,91,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff6fd226525b12ead1fda67,5d75555c99bf5b0018864ed3,APPROVED,2021-01-07 12:22:58.122000,2021-01-07 12:37:14.205000,856.083,32,214,2,100,2021-01-07 14:58:17.565000,4422804F,United Kingdom,United Kingdom,Other,English,,United Kingdom,Female,Yes,Yes
5ff6fd24ca1cd92ea2df6ae7,5e8f569436e20a234f89a6f4,APPROVED,2021-01-07 12:23:14.639000,2021-01-07 12:36:55.652000,821.013,64,181,0,100,2021-01-07 14:58:21.984000,4422804F,United Kingdom,United Kingdom,Part-Time,English,,United Kingdom,Male,No,Yes
5ff6fd28ebc3bd2e56c2e816,5f2c53866fe20e0f4df15f54,APPROVED,2021-01-07 12:23:08.204000,2021-01-07 12:38:45.537000,937.333,37,83,1,100,2021-01-07 14:58:26.473000,4422804F,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,No,Yes
5ff6fd2afb8b252eae5622e1,5eea8ce1177f5a19a860bbe5,APPROVED,2021-01-07 12:23:06.249000,2021-01-07 12:34:51.620000,705.371,42,130,1,100,2021-01-07 14:58:29.901000,4422804F,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No,Yes
5ff6fd2c060a2a2be3a4bb14,5dd3e9d93228863b9c89ad1a,RETURNED,2021-01-07 12:23:12.381000,,96039.215562,52,338,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff6fd3103510f2f25f96449,5f91788c93fac106f80b8a63,APPROVED,2021-01-07 12:23:13.271000,2021-01-07 12:36:02.890000,769.619,70,18,0,100,2021-01-07 14:58:33.759000,NOCODE,United Kingdom,,Other,,English,United Kingdom,Female,No,Yes
5ff6fd32760d2b2ed1e74d12,5d52b9b351ffbf00019fc578,APPROVED,2021-01-07 12:23:14.746000,2021-01-07 12:33:33.919000,619.173,47,468,1,100,2021-01-07 12:34:41.394000,4422804F,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,No,Yes
5ff6fd35d6f3fa2f6096b6d4,5e7257649b289e07c047155f,APPROVED,2021-01-07 12:23:17.007000,2021-01-07 12:58:15.090000,2098.083,36,211,1,100,2021-01-07 14:58:37.467000,4422804F,Nigeria,United Kingdom,Full-Time,English,English,Nigeria,Male,No,Yes
5ff6fd3baffef22dc7712780,5c4a3a9ad3a5e3000182c54a,APPROVED,2021-01-07 12:23:25.876000,2021-01-07 12:33:59.056000,633.18,52,194,0,100,2021-01-07 12:34:40.061000,4422804F,United Kingdom,United Kingdom,Part-Time,English,,United Kingdom,Female,No,Yes
5ff6fd3c2dbdfb2e426f41f4,5c1d232074ad0b0001531eea,RETURNED,2021-01-07 12:24:10.636000,,95981.670451,31,659,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff6fd3dffc22d2cc2446b21,5e71ab071b6e9c0d4c356574,APPROVED,2021-01-07 12:23:25.278000,2021-01-07 12:47:03.391000,1418.113,64,124,0,100,2021-01-07 14:58:41.779000,4422804F,Netherlands,Australia,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,Netherlands,Female,No,Yes
5ff6fd41907fdc2ec136f718,5c5744cfb7cf140001d39d81,APPROVED,2021-01-07 12:23:29.194000,2021-01-07 12:36:35.085000,785.891,37,93,0,100,2021-01-07 14:58:45.837000,4422804F,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,No,Yes
5ff6fd424368b82df1a9e6c4,56ea3053f20ef3000c946e75,APPROVED,2021-01-07 12:32:50.406000,2021-01-07 12:42:08.427000,558.021,30,760,11,98,2021-01-07 14:58:49.272000,4422804F,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,Yes,Yes
5ff6fd432282952dadd4f8c0,5f56bfb85619fa12df98d7d7,APPROVED,2021-01-07 12:23:31.392000,2021-01-07 12:38:13.690000,882.298,35,103,0,100,2021-01-07 14:58:55.324000,4422804F,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,English,United Kingdom,Male,No,Yes
5ff6fd433c77792f37aef141,5eac3b9d594017087b3788af,APPROVED,2021-01-07 12:23:43.475000,2021-01-07 12:35:37.167000,713.692,51,218,1,100,2021-01-07 14:58:58.686000,4422804F,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
