success,trial_type,trial_index,time_elapsed,internal_node_id,STUDY_ID,PROLIFIC_PID,SESSION_ID,FP,bonus,nickname,rt,url,view_history,stimulus,key_press,shape_array,effect,correct_response,test_part,trial_part,correct,responses,trial_name
1.0,fullscreen,0,3987,0.0-0.0,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,,,,,,,,,,
,external-html,1,21391,0.0-1.0,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,17295.7,nickname.html,,,,,,,,,,,
,instructions,2,68883,0.0-2.0,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,47489.5,,"[{""page_index"":0,""viewing_time"":12532.399999999997},{""page_index"":1,""viewing_time"":10467.600000000005},{""page_index"":2,""viewing_time"":14978.599999999998},{""page_index"":3,""viewing_time"":7778.5999999999985},{""page_index"":4,""viewing_time"":1732}]",,,,,,,,,,
,html-keyboard-response,3,69402,0.0-3.0-0.0-0.0,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div>",,['stimuli/diamond.png'],0.0,f,practice,prepare,,,
,html-keyboard-response,4,70723,0.0-3.0-0.0-1.0,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,1317.0999999999913,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div><div class=""central_stim""><img src=""stimuli/diamond.png"" width=""30%"" style=""padding:2vmin""></div>",74.0,['stimuli/diamond.png'],0.0,f,practice,main,0.0,,
,html-keyboard-response,5,72734,0.0-3.0-0.0-2.0,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<div class=""central_stim""></div>",,['stimuli/diamond.png'],0.0,f,practice,feedback,,,
,html-keyboard-response,6,73263,0.0-3.0-0.0-0.1,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div>",,['stimuli/clover.png'],1.0,j,practice,prepare,,,
,html-keyboard-response,7,75003,0.0-3.0-0.0-1.1,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,1737.4000000000087,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div><div class=""central_stim""><img src=""stimuli/clover.png"" width=""30%"" style=""padding:2vmin""></div>",74.0,['stimuli/clover.png'],1.0,j,practice,main,1.0,,
,html-keyboard-response,8,77028,0.0-3.0-0.0-2.1,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<div class=""central_stim""><img src=""stimuli/cat.png"" class=""cat""></div>",,['stimuli/clover.png'],1.0,j,practice,feedback,,,
,html-keyboard-response,9,77544,0.0-3.0-0.0-0.2,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div>",,['stimuli/clover.png'],1.0,j,practice,prepare,,,
,html-keyboard-response,10,78520,0.0-3.0-0.0-1.2,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,973.1000000000058,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div><div class=""central_stim""><img src=""stimuli/clover.png"" width=""30%"" style=""padding:2vmin""></div>",74.0,['stimuli/clover.png'],1.0,j,practice,main,1.0,,
,html-keyboard-response,11,80537,0.0-3.0-0.0-2.2,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<div class=""central_stim""><img src=""stimuli/cat.png"" class=""cat""></div>",,['stimuli/clover.png'],1.0,j,practice,feedback,,,
,html-keyboard-response,12,81070,0.0-3.0-0.0-0.3,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div>",,['stimuli/diamond.png'],0.0,f,practice,prepare,,,
,html-keyboard-response,13,82047,0.0-3.0-0.0-1.3,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,974.8000000000029,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div><div class=""central_stim""><img src=""stimuli/diamond.png"" width=""30%"" style=""padding:2vmin""></div>",70.0,['stimuli/diamond.png'],0.0,f,practice,main,1.0,,
,html-keyboard-response,14,84068,0.0-3.0-0.0-2.3,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<div class=""central_stim""></div>",,['stimuli/diamond.png'],0.0,f,practice,feedback,,,
,html-keyboard-response,15,84587,0.0-3.1-0.1-0.4,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div>",,['stimuli/diamond.png'],0.0,f,practice,prepare,,,
,html-keyboard-response,16,85340,0.0-3.1-0.1-1.4,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,750.8000000000029,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div><div class=""central_stim""><img src=""stimuli/diamond.png"" width=""30%"" style=""padding:2vmin""></div>",70.0,['stimuli/diamond.png'],0.0,f,practice,main,1.0,,
,html-keyboard-response,17,87352,0.0-3.1-0.1-2.4,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<div class=""central_stim""></div>",,['stimuli/diamond.png'],0.0,f,practice,feedback,,,
,html-keyboard-response,18,87864,0.0-3.1-0.1-0.5,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div>",,['stimuli/clover.png'],1.0,j,practice,prepare,,,
,html-keyboard-response,19,88728,0.0-3.1-0.1-1.5,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,862.0,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div><div class=""central_stim""><img src=""stimuli/clover.png"" width=""30%"" style=""padding:2vmin""></div>",74.0,['stimuli/clover.png'],1.0,j,practice,main,1.0,,
,html-keyboard-response,20,90740,0.0-3.1-0.1-2.5,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<div class=""central_stim""><img src=""stimuli/cat.png"" class=""cat""></div>",,['stimuli/clover.png'],1.0,j,practice,feedback,,,
,html-keyboard-response,21,91243,0.0-3.1-0.1-0.6,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div>",,['stimuli/clover.png'],1.0,j,practice,prepare,,,
,html-keyboard-response,22,92202,0.0-3.1-0.1-1.6,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,954.5,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div><div class=""central_stim""><img src=""stimuli/clover.png"" width=""30%"" style=""padding:2vmin""></div>",74.0,['stimuli/clover.png'],1.0,j,practice,main,1.0,,
,html-keyboard-response,23,94226,0.0-3.1-0.1-2.6,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<div class=""central_stim""><img src=""stimuli/cat.png"" class=""cat""></div>",,['stimuli/clover.png'],1.0,j,practice,feedback,,,
,html-keyboard-response,24,94742,0.0-3.1-0.1-0.7,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div>",,['stimuli/diamond.png'],0.0,f,practice,prepare,,,
,html-keyboard-response,25,95250,0.0-3.1-0.1-1.7,5f10222e37592b0f5c021e29,5ed519d5f242dd06a51883e7,5f1062793566652f07ac5bc5,False,0.23,fergy76,505.5,,,"<h2>Will the cat appear after this screen?</h2><div class=""J_key""><strong>Yes</strong> <br> (press J)</div><div class=""F_key""><strong>No</strong> <br> (press F)</div><div class=""central_stim""><img src=""stimuli/diamond.png"" width=""30%"" style=""padding:2vmin""></div>",70.0,['stimuli/diamond.png'],0.0,f,practice,main,1.0,,
