success,trial_type,trial_index,time_elapsed,internal_node_id,STUDY_ID,PROLIFIC_PID,SESSION_ID,FP,bonus,draw_light,correct_response,test_part,RT,response,correct,rt,responses
1.0,fullscreen,0,3666,0.0-0.0,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,,,,,,,,
,p5Text,1,13376,0.0-1.0,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,,,,,,,,
,p5Text,2,23087,0.0-2.0,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,,,,,,,,
,p5Text,3,40946,0.0-3.0,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,,,,,,,,
,p5Text,4,53742,0.0-4.0,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,,,,,,,,
,p5card,5,58935,0.0-5.0-0.0,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,0.0,f,test,,,,,
,p5feedback,6,62713,0.0-5.0-1.0,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,,,,,,,,
,p5card,7,66349,0.0-5.0-0.1,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,1.0,j,test,1393.6249999678694,j,1.0,,
,p5feedback,8,67720,0.0-5.0-1.1,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,,,,,,,,
,p5card,9,74797,0.0-5.0-0.2,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,1.0,j,test,4906.43499995349,f,0.0,,
,p5feedback,10,76102,0.0-5.0-1.2,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,,,,,,,,
,p5card,11,81377,0.0-5.0-0.3,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,0.0,f,test,,,,,
,p5feedback,12,82664,0.0-5.0-1.3,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,,,,,,,,
,p5card,13,85459,0.0-5.0-0.4,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,1.0,j,test,650.4500000155531,f,0.0,,
,p5feedback,14,86667,0.0-5.0-1.4,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,,,,,,,,
,p5card,15,90257,0.0-5.0-0.5,5eff7cd152e3fd04e8afe0dc,5eedb8dfd2f5e71ef21600b6,5f002f595819b111bafe9454,False,0.55,0.0,f,test,1425.7649999926798,j,0.0,,
