success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_identifier,subject_sum,STUDY_ID,PROLIFIC_PID,SESSION_ID,followed_instructions,which_stimulus,RT,response,SOA,correct_response,test_part,correct,rt,stimulus,key_press,confidence,conf_RT,responses,question_order,set_size,target_present,target_position,distractor_positions,jitter,target
1.0,fullscreen,0,4271,0.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,,,,,,,,,,,,,,,,,,,,
,p5Text,1,49447,0.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,,,,,,,,,,,,,,,,,,,,
,p5Text,2,82804,0.0-2.0-0.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,,,,,,,,,,,,,,,,,,,,
,disc,3,85498,0.0-2.0-0.0-1.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,2.0,2181.7300003021955,q,100.0,w,disc_practice,0.0,,,,,,,,,,,,,
,html-keyboard-response,4,87004,0.0-2.0-0.0-1.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,,,,,,,,,"<div style=""width:150px;height:56px;border:0px;font-size:30px;text-align:center"">wrong.</div>",,,,,,,,,,,
,disc,5,88252,0.0-2.0-0.0-1.0-0.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,1.0,738.9199999161065,q,111.11111111111111,q,disc_practice,1.0,,,,,,,,,,,,,
,html-keyboard-response,6,89254,0.0-2.0-0.0-1.0-1.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,,,,,,,,,,
,disc,7,90486,0.0-2.0-0.0-1.0-0.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,2.0,722.820000257343,w,111.11111111111111,w,disc_practice,1.0,,,,,,,,,,,,,
,html-keyboard-response,8,91487,0.0-2.0-0.0-1.0-1.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,,,,,,,,,,
,disc,9,92822,0.0-2.0-0.0-1.0-0.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,1.0,823.1750000268221,q,100.0,q,disc_practice,1.0,,,,,,,,,,,,,
,html-keyboard-response,10,93827,0.0-2.0-0.0-1.0-1.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,,,,,,,,,,
,p5Text,11,104671,0.0-2.0-0.1-0.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,,,,,,,,,,,,,,,,,,,,
,disc,12,108353,0.0-2.0-0.1-1.1-0.4,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,1.0,3172.7950000204146,q,100.0,q,disc_practice,1.0,,,,,,,,,,,,,
,html-keyboard-response,13,109355,0.0-2.0-0.1-1.1-1.4,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,,,,,,,,,,
,disc,14,110390,0.0-2.0-0.1-1.1-0.5,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,2.0,516.1649999208748,w,90.0,w,disc_practice,1.0,,,,,,,,,,,,,
,html-keyboard-response,15,111396,0.0-2.0-0.1-1.1-1.5,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,,,,,,,,,,
,disc,16,112437,0.0-2.0-0.1-1.1-0.6,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,2.0,523.7050000578165,w,90.0,w,disc_practice,1.0,,,,,,,,,,,,,
,html-keyboard-response,17,113442,0.0-2.0-0.1-1.1-1.6,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c7dc31ade6f79001849c3a3,"[119, 33, 21, 251, 69, 243, 53, 91, 126, 37, 73, 39, 242, 115, 34, 233, 49, 62, 4, 137, 45, 158, 137, 1, 235, 28, 250, 20, 241, 206, 9, 244]",5ef0c931cace092dd8a8dd64,5c7dc31ade6f79001849c3a3,5ef0d53ef2d2bf65ffe0ae88,True,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,,,,,,,,,,
