success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_identifier,subject_sum,STUDY_ID,PROLIFIC_PID,SESSION_ID,bonus,nickname,rt,url,set_size,change,addition,RT,response,jitter,correct_response,test_part,correct,stimulus,key_press,responses
1.0,fullscreen,0,2840,0.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5e230311699ac45b327786dc,"[198, 243, 98, 34, 66, 23, 154, 49, 254, 162, 26, 196, 97, 152, 32, 143, 161, 182, 224, 206, 226, 30, 174, 242, 121, 5, 249, 70, 217, 69, 31, 49]",5f182f6ff0709b22657648f9,5e230311699ac45b327786dc,5f1837ab108d1012466a4785,0.25,idiot_number_3,,,,,,,,,,,,,,
,external-html,1,23536,0.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5e230311699ac45b327786dc,"[198, 243, 98, 34, 66, 23, 154, 49, 254, 162, 26, 196, 97, 152, 32, 143, 161, 182, 224, 206, 226, 30, 174, 242, 121, 5, 249, 70, 217, 69, 31, 49]",5f182f6ff0709b22657648f9,5e230311699ac45b327786dc,5f1837ab108d1012466a4785,0.25,idiot_number_3,20669.74000000005,nickname.html,,,,,,,,,,,,
,p5Text,2,27362,0.0-2.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5e230311699ac45b327786dc,"[198, 243, 98, 34, 66, 23, 154, 49, 254, 162, 26, 196, 97, 152, 32, 143, 161, 182, 224, 206, 226, 30, 174, 242, 121, 5, 249, 70, 217, 69, 31, 49]",5f182f6ff0709b22657648f9,5e230311699ac45b327786dc,5f1837ab108d1012466a4785,0.25,idiot_number_3,,,,,,,,,,,,,,
,p5Text,3,47477,0.0-3.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5e230311699ac45b327786dc,"[198, 243, 98, 34, 66, 23, 154, 49, 254, 162, 26, 196, 97, 152, 32, 143, 161, 182, 224, 206, 226, 30, 174, 242, 121, 5, 249, 70, 217, 69, 31, 49]",5f182f6ff0709b22657648f9,5e230311699ac45b327786dc,5f1837ab108d1012466a4785,0.25,idiot_number_3,,,,,,,,,,,,,,
,p5cd_ad,4,53367,0.0-3.0-1.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5e230311699ac45b327786dc,"[198, 243, 98, 34, 66, 23, 154, 49, 254, 162, 26, 196, 97, 152, 32, 143, 161, 182, 224, 206, 226, 30, 174, 242, 121, 5, 249, 70, 217, 69, 31, 49]",5f182f6ff0709b22657648f9,5e230311699ac45b327786dc,5f1837ab108d1012466a4785,0.25,idiot_number_3,,,3.0,1.0,0.0,4219.807095685384,f,159.00290431454778,j,practice,0.0,,,
,html-keyboard-response,5,54870,0.0-3.0-1.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5e230311699ac45b327786dc,"[198, 243, 98, 34, 66, 23, 154, 49, 254, 162, 26, 196, 97, 152, 32, 143, 161, 182, 224, 206, 226, 30, 174, 242, 121, 5, 249, 70, 217, 69, 31, 49]",5f182f6ff0709b22657648f9,5e230311699ac45b327786dc,5f1837ab108d1012466a4785,0.25,idiot_number_3,,,,,,,,,,,,"<div style=""width:150px;height:56px;border:0px;font-size:30px;text-align:center"">wrong.</div>",,
,p5cd_ad,6,58451,0.0-3.0-1.0-0.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5e230311699ac45b327786dc,"[198, 243, 98, 34, 66, 23, 154, 49, 254, 162, 26, 196, 97, 152, 32, 143, 161, 182, 224, 206, 226, 30, 174, 242, 121, 5, 249, 70, 217, 69, 31, 49]",5f182f6ff0709b22657648f9,5e230311699ac45b327786dc,5f1837ab108d1012466a4785,0.25,idiot_number_3,,,3.0,1.0,1.0,1684.0556411268553,f,391.0793588729575,j,practice,0.0,,,
,html-keyboard-response,7,59954,0.0-3.0-1.0-1.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5e230311699ac45b327786dc,"[198, 243, 98, 34, 66, 23, 154, 49, 254, 162, 26, 196, 97, 152, 32, 143, 161, 182, 224, 206, 226, 30, 174, 242, 121, 5, 249, 70, 217, 69, 31, 49]",5f182f6ff0709b22657648f9,5e230311699ac45b327786dc,5f1837ab108d1012466a4785,0.25,idiot_number_3,,,,,,,,,,,,"<div style=""width:150px;height:56px;border:0px;font-size:30px;text-align:center"">wrong.</div>",,
,p5cd_ad,8,63166,0.0-3.0-1.0-0.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5e230311699ac45b327786dc,"[198, 243, 98, 34, 66, 23, 154, 49, 254, 162, 26, 196, 97, 152, 32, 143, 161, 182, 224, 206, 226, 30, 174, 242, 121, 5, 249, 70, 217, 69, 31, 49]",5f182f6ff0709b22657648f9,5e230311699ac45b327786dc,5f1837ab108d1012466a4785,0.25,idiot_number_3,,,3.0,0.0,0.0,1691.3768026306643,f,4.088197369128466,f,practice,1.0,,,
,html-keyboard-response,9,64168,0.0-3.0-1.0-1.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5e230311699ac45b327786dc,"[198, 243, 98, 34, 66, 23, 154, 49, 254, 162, 26, 196, 97, 152, 32, 143, 161, 182, 224, 206, 226, 30, 174, 242, 121, 5, 249, 70, 217, 69, 31, 49]",5f182f6ff0709b22657648f9,5e230311699ac45b327786dc,5f1837ab108d1012466a4785,0.25,idiot_number_3,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
